diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2],ray[mm2]
2.2,273.14999999999998,31.228381041666665,0.92972595237084443,0.033874471162533948,0.47661728456784763,0.033918959619430325
2.21,273.14999999999998,31.228381041666665,0.92972595237084443,0.034828228721545167,0.48770893211224986,0.034854598155895734
2.22,273.14999999999998,31.228381041666665,0.92972595237084443,0.035805007309307468,0.49902656128218775,0.035811646150679444
2.23,273.14999999999998,31.228381041666665,0.92972595237084443,0.036805301967305588,0.51057405245472043,0.036790493739321264
2.24,273.14999999999998,31.228381041666665,0.92972595237084443,0.037829605240502023,0.52235533037088355,0.037791536365200884
2.25,273.14999999999998,31.228381041666665,0.92972595237084443,0.03887843785918229,0.53437441153041743,0.038815174827463918
2.26,273.14999999999998,31.228381041666665,0.92972595237084443,0.039952298038810563,0.54663535367645022,0.039861815329162748
2.27,273.14999999999998,31.228381041666665,0.92972595237084443,0.041051732124076014,0.55914220321206087,0.040931869525613396
2.28,273.14999999999998,31.228381041666665,0.92972595237084443,0.042177279480817086,0.57189915389247825,0.042025754572967131
2.29,273.14999999999998,31.228381041666665,0.92972595237084443,0.043329489988643548,0.5849103453733695,0.043143893176998176
2.3,273.14999999999998,31.228381041666665,0.92972595237084443,0.044508924321997212,0.59818007950687024,0.044286713642106026
